Country Code,Campaign,Impressions,Clicks,Installs,Spend,Customers,Revenue
BZ,DE-Generic,0,0,0,0.0,0.0,0.0
BZ,ES-Generic,0,0,0,0.0,0.0,0.0
BZ,Features,1,0,0,0.0,0.0,0.0
BZ,ProductReview,2,0,0,0.0,0.0,0.0
BZ,Review-variations,0,0,0,0.0,0.0,0.0
BZ,Trust,0,0,0,0.0,0.0,0.0
CA,BR-PT-Generic,61,2,0,10.0,0.0,0.0
CA,BrandProtection,297,15,10,3.0,0.0,0.0
CA,Competitors,567,24,19,77.5,1.0,15.23
CA,DE-Generic,203,3,1,8.58,0.0,0.0
CA,ES-Generic,293,7,3,20.06,0.0,0.0
CA,Features,571,44,34,199.3,2.0,60.0
CA,IT-Generic,1,0,0,0.0,0.0,0.0
CA,ProductReview,1567,230,174,560.1,3.0,60.67
CA,Review-variations,330,29,18,98.46,0.0,0.0
CA,Trust,125,5,4,24.0,1.0,30.46
CD,BR-PT-Generic,19,2,0,10.0,0.0,0.0
CD,Competitors,6,0,0,0.0,0.0,0.0
CD,DE-Generic,7,0,0,0.0,0.0,0.0
CD,ES-Generic,5,0,0,0.0,0.0,0.0
CD,Features,2,0,0,0.0,0.0,0.0
CD,ProductReview,2,0,0,0.0,0.0,0.0
CD,Review-variations,1,0,0,0.0,0.0,0.0
CF,BR-PT-Generic,0,0,0,0.0,0.0,0.0
CF,Competitors,1,0,0,0.0,0.0,0.0
CF,DE-Generic,0,0,0,0.0,0.0,0.0
CG,BR-PT-Generic,9,0,0,0.0,0.0,0.0
CG,BrandProtection,1,0,0,0.0,0.0,0.0
CG,Competitors,1,0,0,0.0,0.0,0.0
CG,DE-Generic,1,0,0,0.0,0.0,0.0
CG,ES-Generic,1,0,0,0.0,0.0,0.0
CG,Features,3,0,0,0.0,0.0,0.0
CG,ProductReview,3,1,1,2.1,0.0,0.0
CH,BR-PT-Generic,20,0,0,0.0,0.0,0.0
CH,BrandProtection,107,2,1,0.4,0.0,0.0
CH,Competitors,160,8,5,24.5,0.0,0.0
CH,DE-Generic,316,22,10,57.980000000000004,0.0,0.0
CH,ES-Generic,94,7,6,22.54,0.0,0.0
CH,Features,176,8,6,37.4,0.0,0.0
CH,IT-Generic,7,3,2,13.5,0.0,0.0
CH,ProductReview,294,40,32,111.8,1.0,45.67
CH,Review-variations,122,9,4,28.64,1.0,15.0
CH,Trust,39,3,0,14.0,0.0,0.0
CI,BR-PT-Generic,114,4,0,20.0,0.0,0.0
CI,BrandProtection,17,3,3,0.6000000000000001,0.0,0.0
CI,Competitors,44,2,1,6.5,0.0,0.0
CI,DE-Generic,16,0,0,0.0,0.0,0.0
CI,ES-Generic,25,2,2,5.0,0.0,0.0
CI,Features,26,2,1,10.0,0.0,0.0
CI,ProductReview,13,3,2,9.5,0.0,0.0
CI,Review-variations,10,0,0,0.0,0.0,0.0
CI,Trust,12,0,0,0.0,0.0,0.0
CL,BR-PT-Generic,460,13,7,60.0,0.0,0.0
CL,BrandProtection,83,2,0,0.4,0.0,0.0
CL,Competitors,386,5,3,14.5,0.0,0.0
CL,DE-Generic,103,0,0,0.0,0.0,0.0
CL,ES-Generic,668,78,65,293.94,0.0,0.0
CL,Features,161,8,5,40.0,0.0,0.0
CL,ProductReview,244,43,37,106.6,0.0,0.0
CL,Review-variations,135,8,5,20.5,0.0,0.0
CL,Trust,64,4,1,22.0,0.0,0.0
CM,BR-PT-Generic,46,3,0,15.0,0.0,0.0
CM,BrandProtection,6,0,0,0.0,0.0,0.0
CM,Competitors,25,1,1,2.5,0.0,0.0
CM,DE-Generic,8,0,0,0.0,0.0,0.0
CM,ES-Generic,11,0,0,0.0,0.0,0.0
CM,Features,11,1,1,5.0,0.0,0.0
CM,ProductReview,13,1,1,3.0,0.0,0.0
