Country Code,Campaign,Impressions,Clicks,Installs,Spend,Customers,Revenue
CO,Trust,126,7,6,34.0,0.0,0.0
CR,BrandProtection,5,0,0,0.0,0.0,0.0
CR,Competitors,22,0,0,0.0,0.0,0.0
CR,Features,20,0,0,0.0,0.0,0.0
CR,ProductReview,19,4,3,10.5,0.0,0.0
CR,Review-variations,12,0,0,0.0,0.0,0.0
CR,Trust,15,0,0,0.0,0.0,0.0
CW,Features,3,0,0,0.0,0.0,0.0
CW,ProductReview,4,1,1,1.5,0.0,0.0
CW,Review-variations,0,0,0,0.0,0.0,0.0
CW,Trust,0,0,0,0.0,0.0,0.0
CY,BrandProtection,11,0,0,0.0,0.0,0.0
CY,Competitors,20,1,1,2.5,0.0,0.0
CY,Features,24,1,1,3.2,0.0,0.0
CY,ProductReview,33,6,5,13.4,0.0,0.0
CY,Review-variations,15,0,0,0.0,0.0,0.0
CY,Trust,28,0,0,0.0,0.0,0.0
CZ,BrandProtection,40,2,2,0.4,0.0,0.0
CZ,Competitors,71,1,1,2.5,0.0,0.0
CZ,Features,69,3,1,15.5,0.0,0.0
CZ,ProductReview,129,19,13,49.7,0.0,0.0
CZ,Review-variations,43,3,1,12.0,0.0,0.0
CZ,Trust,23,0,0,0.0,0.0,0.0
DE,BrandProtection,452,14,7,2.8,0.0,0.0
DE,Competitors,883,49,29,134.0,2.0,45.68
DE,Features,731,23,5,108.9,0.0,0.0
DE,PLUS-ProductReview,11,4,1,15.0,0.0,0.0
DE,ProductReview,1652,239,165,614.3,7.0,167.46
DE,Review-variations,537,45,24,138.7,0.0,0.0
DE,Trust,195,9,3,43.0,0.0,0.0
DJ,BrandProtection,1,0,0,0.0,0.0,0.0
DJ,Features,1,0,0,0.0,0.0,0.0
DK,BrandProtection,25,0,0,0.0,0.0,0.0
DK,Competitors,218,13,4,33.0,0.0,0.0
DK,Features,69,9,8,41.6,0.0,0.0
DK,PLUS-ProductReview,4,0,0,0.0,0.0,0.0
DK,ProductReview,167,25,20,67.2,1.0,30.0
DK,Review-variations,68,6,4,18.5,0.0,0.0
DK,Trust,29,4,3,19.0,0.0,0.0
DO,BrandProtection,14,1,1,0.2,0.0,0.0
DO,Competitors,35,4,3,10.5,0.0,0.0
DO,Features,37,0,0,0.0,0.0,0.0
DO,ProductReview,34,8,6,21.1,0.0,0.0
DO,Review-variations,16,0,0,0.0,0.0,0.0
DO,Trust,11,0,0,0.0,0.0,0.0
DZ,BrandProtection,6,1,1,0.2,0.0,0.0
DZ,Competitors,14,0,0,0.0,0.0,0.0
DZ,Features,33,4,3,20.0,0.0,0.0
DZ,ProductReview,79,18,17,37.1,0.0,0.0
DZ,Review-variations,33,1,1,3.5,0.0,0.0
DZ,Trust,12,1,1,4.0,0.0,0.0
EC,BrandProtection,24,1,0,0.2,0.0,0.0
EC,Competitors,354,2,1,5.5,0.0,0.0
EC,Features,77,4,3,18.0,0.0,0.0
EC,ProductReview,92,11,9,30.4,0.0,0.0
EC,Review-variations,33,1,0,2.5,0.0,0.0
EC,Trust,7,0,0,0.0,0.0,0.0
EE,BrandProtection,21,0,0,0.0,0.0,0.0
EE,Competitors,22,1,0,2.5,0.0,0.0
EE,Features,83,1,0,5.0,0.0,0.0
EE,ProductReview,135,27,24,59.8,0.0,0.0
EE,Review-variations,19,2,2,9.5,0.0,0.0
EE,Trust,7,1,1,7.0,0.0,0.0
EG,BrandProtection,119,8,3,1.7,0.0,0.0
EG,Competitors,125,9,6,27.5,0.0,0.0
EG,Features,192,18,9,85.9,0.0,0.0
EG,ProductReview,367,91,72,203.3,1.0,15.0
EG,Review-variations,225,16,13,69.32,0.0,0.0
EG,Trust,62,2,2,9.0,0.0,0.0
ES,BrandProtection,275,15,12,3.0,1.0,15.22
ES,Competitors,893,28,20,82.0,1.0,15.22
ES,Features,669,52,43,253.6,1.0,15.23
ES,ProductReview,1062,175,134,451.5,1.0,15.23
ES,Review-variations,367,21,13,64.78,0.0,0.0
ES,Trust,110,5,4,25.0,0.0,0.0
ET,BrandProtection,1,0,0,0.0,0.0,0.0
ET,Features,6,1,1,5.0,0.0,0.0
ET,ProductReview,3,0,0,0.0,0.0,0.0
ET,Review-variations,4,1,1,2.5,0.0,0.0
FI,BrandProtection,28,0,0,0.0,0.0,0.0
FI,Competitors,37,1,0,2.5,0.0,0.0
FI,Features,33,5,4,23.0,0.0,0.0
FI,ProductReview,165,22,12,59.0,2.0,60.9
FI,Review-variations,35,1,0,5.0,0.0,0.0
FI,Trust,9,1,1,7.0,0.0,0.0
FJ,Competitors,6,0,0,0.0,0.0,0.0
FJ,Features,0,0,0,0.0,0.0,0.0
FJ,ProductReview,1,0,0,0.0,0.0,0.0
FJ,Review-variations,1,0,0,0.0,0.0,0.0
FK,Review-variations,0,0,0,0.0,0.0,0.0
FO,Features,1,0,0,0.0,0.0,0.0
FO,ProductReview,2,0,0,0.0,0.0,0.0
FO,Review-variations,1,0,0,0.0,0.0,0.0
FR,BrandProtection,661,28,16,5.9,0.0,0.0
FR,Competitors,1485,80,54,214.0,4.0,106.58
FR,Features,819,72,55,360.0,0.0,0.0
FR,PLUS-ProductReview,6,1,0,4.0,0.0,0.0
FR,ProductReview,1376,218,165,575.5,8.0,213.13
FR,Review-variations,479,26,15,70.28,0.0,0.0
FR,Trust,117,5,3,27.0,0.0,0.0
GA,Competitors,1,0,0,0.0,0.0,0.0
GA,Features,0,0,0,0.0,0.0,0.0
GA,ProductReview,1,0,0,0.0,0.0,0.0
GA,Review-variations,0,0,0,0.0,0.0,0.0
GB,BrandProtection,587,28,18,5.6,2.0,60.44
GB,Competitors,1480,50,26,143.5,1.0,30.46
GB,Features,1201,89,64,410.1,1.0,15.22
GB,PLUS-ProductReview,19,2,0,6.0,0.0,0.0
GB,ProductReview,3348,561,408,1450.6,14.0,365.38
GB,Review-variations,742,54,34,194.92000000000002,0.0,0.0
GB,Trust,240,14,9,70.0,0.0,0.0
GD,Review-variations,3,0,0,0.0,0.0,0.0
GE,BrandProtection,2,0,0,0.0,0.0,0.0
GE,Competitors,6,0,0,0.0,0.0,0.0
GE,Features,14,0,0,0.0,0.0,0.0
GE,ProductReview,23,6,4,17.0,0.0,0.0
GE,Review-variations,3,0,0,0.0,0.0,0.0
GE,Trust,0,0,0,0.0,0.0,0.0
GF,BrandProtection,1,1,1,0.2,0.0,0.0
GF,Competitors,2,0,0,0.0,0.0,0.0
GF,Features,0,0,0,0.0,0.0,0.0
GF,Review-variations,0,0,0,0.0,0.0,0.0
GG,Competitors,1,0,0,0.0,0.0,0.0
GG,Features,0,0,0,0.0,0.0,0.0
GG,Review-variations,1,1,1,2.5,0.0,0.0
GH,BrandProtection,5,0,0,0.0,0.0,0.0
GH,Competitors,1,0,0,0.0,0.0,0.0
GH,Features,59,2,1,9.5,0.0,0.0
GH,ProductReview,18,4,2,11.3,0.0,0.0
GH,Review-variations,18,2,1,10.0,0.0,0.0
GI,Competitors,1,0,0,0.0,0.0,0.0
GI,Features,1,0,0,0.0,0.0,0.0
GI,ProductReview,3,2,1,3.6,0.0,0.0
GI,Review-variations,0,0,0,0.0,0.0,0.0
GL,Review-variations,0,0,0,0.0,0.0,0.0
GM,Features,0,0,0,0.0,0.0,0.0
GM,ProductReview,2,0,0,0.0,0.0,0.0
GM,Review-variations,0,0,0,0.0,0.0,0.0
GN,BrandProtection,1,0,0,0.0,0.0,0.0
GN,Competitors,5,0,0,0.0,0.0,0.0
GN,Features,1,0,0,0.0,0.0,0.0
GN,ProductReview,2,2,2,6.0,0.0,0.0
GN,Review-variations,6,1,0,2.5,0.0,0.0
GN,Trust,0,0,0,0.0,0.0,0.0
GP,BrandProtection,1,0,0,0.0,0.0,0.0
GP,Competitors,5,1,1,2.5,0.0,0.0
GP,Features,6,1,1,5.0,0.0,0.0
GP,Review-variations,1,0,0,0.0,0.0,0.0
GQ,BrandProtection,0,0,0,0.0,0.0,0.0
GR,BrandProtection,26,2,1,0.4,1.0,30.46
GR,Competitors,47,2,1,5.0,0.0,0.0
GR,Features,61,0,0,0.0,0.0,0.0
GR,ProductReview,84,16,15,43.0,0.0,0.0
GR,Review-variations,22,0,0,0.0,0.0,0.0
GR,Trust,14,1,1,5.0,0.0,0.0
GT,BrandProtection,11,0,0,0.0,0.0,0.0
GT,Competitors,53,0,0,0.0,0.0,0.0
GT,Features,26,2,2,10.0,0.0,0.0
GT,ProductReview,30,3,2,5.7,0.0,0.0
GT,Review-variations,19,1,0,2.82,0.0,0.0
GT,Trust,7,0,0,0.0,0.0,0.0
GY,Features,1,0,0,0.0,0.0,0.0
GY,ProductReview,2,0,0,0.0,0.0,0.0
GY,Review-variations,0,0,0,0.0,0.0,0.0
HK,BrandProtection,45,2,2,0.4,1.0,15.22
HK,Competitors,172,6,4,17.0,1.0,30.0
HK,Features,165,14,7,73.0,0.0,0.0
HK,ProductReview,373,62,40,131.8,2.0,30.0
HK,Review-variations,111,6,3,20.64,0.0,0.0
HK,Trust,51,4,2,18.0,0.0,0.0
HN,BrandProtection,1,0,0,0.0,0.0,0.0
HN,Competitors,5,0,0,0.0,0.0,0.0
HN,Features,9,0,0,0.0,0.0,0.0
HN,ProductReview,9,1,1,2.1,0.0,0.0
HN,Review-variations,11,0,0,0.0,0.0,0.0
HN,Trust,12,2,1,8.0,0.0,0.0
HR,BrandProtection,15,0,0,0.0,0.0,0.0
HR,Competitors,17,0,0,0.0,0.0,0.0
HR,Features,21,0,0,0.0,0.0,0.0
HR,ProductReview,50,13,9,30.8,0.0,0.0
HR,Review-variations,27,2,1,9.0,0.0,0.0
HR,Trust,1,1,1,5.0,0.0,0.0
HT,BrandProtection,3,0,0,0.0,0.0,0.0
HT,Competitors,1,0,0,0.0,0.0,0.0
HT,Features,0,0,0,0.0,0.0,0.0
HT,ProductReview,0,0,0,0.0,0.0,0.0
HT,Review-variations,1,0,0,0.0,0.0,0.0
HU,BrandProtection,37,2,2,0.4,0.0,0.0
HU,Competitors,138,4,3,12.0,0.0,0.0
HU,Features,40,2,1,8.0,0.0,0.0
